point;Temps(s);Tension_moteur(V);Vitesse_chariot(mm/s)
182;3.640000;-13.738428;-95.585708
183;3.660000;-16.818428;-91.569937
184;3.680000;-17.797428;-94.777072
185;3.700000;-16.059428;-106.824388
186;3.720000;-13.232428;-99.416980
187;3.740000;-17.093428;-81.069257
188;3.760000;-16.092428;-94.592572
189;3.780000;-17.170428;-113.309296
190;3.800000;-11.549428;-92.747572
191;3.820000;-16.158428;-80.515757
192;3.840000;-18.017428;-101.077480
193;3.860000;-16.345428;-104.724252
194;3.880000;-14.574428;-106.824388
195;3.900000;-17.819428;-87.000665
196;3.920000;-17.610428;-87.923165
197;3.940000;-16.719428;-118.247568
198;3.960000;-13.254428;-97.132344
199;3.980000;-16.620428;-69.277077
200;4.000000;-16.554428;-82.984893
201;4.020000;-18.930428;-107.193388
202;4.040000;-12.121428;-99.601480
203;4.060000;-15.740428;-82.246893
204;4.080000;-18.116428;-88.107665
205;4.100000;-17.698428;-118.616568
206;4.120000;-13.254428;-112.940296
207;4.140000;-17.522428;-73.477349
208;4.160000;-17.192428;-83.538393
209;4.180000;-16.807428;-113.493796
210;4.200000;-11.351428;-99.416980
211;4.220000;-16.070428;-80.515757
212;4.240000;-16.873428;-87.185165
213;4.260000;-18.754428;-109.847024
214;4.280000;-11.087428;-109.109024
215;4.300000;-17.104428;-81.877893
216;4.320000;-17.533428;-74.584349
217;4.340000;-16.785428;-121.085703
218;4.360000;-11.582428;-119.609703
219;4.380000;-16.664428;-71.008213
220;4.400000;-16.620428;-85.638529
221;4.420000;-18.578428;-125.470475
222;4.440000;-10.889428;-104.170752
223;4.460000;-16.169428;-89.100801
224;4.480000;-17.709428;-98.977344
225;4.500000;-18.193428;-96.323708
226;4.520000;-11.626428;-124.732475
227;4.540000;-18.127428;-97.870344
228;4.560000;-17.016428;-72.115213
229;4.580000;-16.576428;-118.616568
230;4.600000;-12.935428;-108.555524
231;4.620000;-15.960428;-80.146757
232;4.640000;-16.224428;-87.554165
233;4.660000;-18.765428;-86.078165
234;4.680000;-13.694428;-92.747572
235;4.700000;-2.782428;-82.246893
236;4.720000;-1.935428;-52.546626
237;4.740000;-1.374428;-29.700267
238;4.760000;-0.945428;-13.707815
239;4.780000;-0.780428;-9.138544
240;4.800000;-0.659428;-6.853908
241;4.820000;-0.450428;-2.284636
242;4.840000;0.022572;0.000000
243;4.860000;0.099572;2.284636
244;4.880000;0.066572;0.000000
245;4.900000;0.000572;0.000000
246;4.920000;0.000572;0.000000
247;4.940000;0.000572;0.000000
248;4.960000;0.000572;2.284636
249;4.980000;0.000572;2.284636
250;5.000000;0.011572;-2.284636
251;5.020000;0.000572;-2.284636
252;5.040000;0.000572;0.000000
253;5.060000;0.000572;0.000000
254;5.080000;0.000572;0.000000
255;5.100000;0.000572;0.000000
256;5.120000;0.000572;0.000000
257;5.140000;0.000572;0.000000
258;5.160000;0.000572;0.000000
259;5.180000;0.000572;0.000000
260;5.200000;0.000572;0.000000
261;5.220000;0.000572;2.284636
262;5.240000;0.000572;0.000000
263;5.260000;0.000572;-2.284636
264;5.280000;0.000572;0.000000
265;5.300000;0.000572;0.000000
266;5.320000;0.000572;0.000000
267;5.340000;0.000572;0.000000
268;5.360000;0.000572;0.000000
269;5.380000;0.000572;0.000000
270;5.400000;0.000572;0.000000
271;5.420000;0.000572;0.000000
272;5.440000;0.000572;0.000000
273;5.460000;0.011572;0.000000
274;5.480000;0.011572;0.000000
275;5.500000;0.000572;0.000000
276;5.520000;0.000572;0.000000
277;5.540000;0.000572;0.000000
278;5.560000;0.000572;0.000000
279;5.580000;0.000572;0.000000
280;5.600000;0.000572;0.000000
281;5.620000;0.000572;0.000000
282;5.640000;0.000572;0.000000
283;5.660000;0.000572;0.000000
284;5.680000;0.000572;0.000000
285;5.700000;0.000572;0.000000
286;5.720000;0.000572;0.000000
287;5.740000;0.000572;0.000000
288;5.760000;0.000572;0.000000
289;5.780000;0.000572;0.000000
290;5.800000;0.000572;0.000000
291;5.820000;0.000572;0.000000
292;5.840000;0.000572;0.000000
293;5.860000;0.000572;0.000000
294;5.880000;0.000572;0.000000
295;5.900000;0.000572;0.000000
296;5.920000;0.000572;0.000000
297;5.940000;0.000572;0.000000
298;5.960000;0.000572;0.000000
299;5.980000;0.000572;0.000000
300;6.000000;0.000572;0.000000
301;6.020000;0.000572;0.000000
302;6.040000;0.011572;0.000000
303;6.060000;0.000572;0.000000
304;6.080000;0.000572;0.000000
305;6.100000;0.000572;0.000000
306;6.120000;0.000572;0.000000
307;6.140000;0.000572;0.000000
308;6.160000;0.000572;0.000000
309;6.180000;0.011572;0.000000
310;6.200000;0.000572;0.000000
311;6.220000;0.000572;0.000000
312;6.240000;0.000572;0.000000
313;6.260000;0.011572;0.000000
314;6.280000;0.000572;0.000000
315;6.300000;0.011572;0.000000
316;6.320000;0.000572;0.000000
317;6.340000;0.000572;2.284636
318;6.360000;0.000572;0.000000
319;6.380000;0.000572;-2.284636
320;6.400000;0.000572;0.000000
321;6.420000;0.000572;0.000000
322;6.440000;0.000572;0.000000
323;6.460000;0.000572;0.000000
324;6.480000;0.000572;0.000000
325;6.500000;0.011572;0.000000
326;6.520000;0.011572;0.000000
327;6.540000;0.000572;0.000000
328;6.560000;0.000572;0.000000
329;6.580000;0.011572;0.000000
330;6.600000;0.000572;0.000000
331;6.620000;0.000572;0.000000
332;6.640000;0.000572;0.000000
333;6.660000;0.000572;0.000000
334;6.680000;0.000572;0.000000
335;6.700000;0.000572;0.000000
336;6.720000;0.000572;0.000000
337;6.740000;0.000572;0.000000
338;6.760000;0.011572;0.000000
339;6.780000;0.000572;0.000000
340;6.800000;0.000572;0.000000
341;6.820000;0.000572;0.000000
342;6.840000;0.011572;0.000000
343;6.860000;0.011572;0.000000
344;6.880000;0.000572;0.000000
345;6.900000;0.000572;0.000000
346;6.920000;0.000572;0.000000
347;6.940000;0.000572;0.000000
348;6.960000;0.011572;0.000000
349;6.980000;0.000572;0.000000
350;7.000000;0.000572;0.000000
351;7.020000;0.000572;0.000000
352;7.040000;0.000572;0.000000
353;7.060000;0.000572;0.000000
354;7.080000;0.000572;0.000000
355;7.100000;0.011572;0.000000
356;7.120000;0.000572;0.000000
357;7.140000;0.000572;0.000000
358;7.160000;0.000572;0.000000
359;7.180000;0.000572;0.000000
360;7.200000;0.011572;0.000000
361;7.220000;0.000572;0.000000
362;7.240000;0.000572;0.000000
363;7.260000;0.000572;0.000000
364;7.280000;0.000572;0.000000
365;7.300000;0.000572;0.000000
366;7.320000;0.011572;0.000000
367;7.340000;0.000572;0.000000
368;7.360000;0.000572;0.000000
369;7.380000;0.000572;0.000000
370;7.400000;0.000572;0.000000
371;7.420000;0.011572;0.000000
372;7.440000;0.000572;0.000000
373;7.460000;0.011572;0.000000
374;7.480000;0.000572;0.000000
375;7.500000;0.000572;0.000000
376;7.520000;0.000572;0.000000
377;7.540000;0.011572;0.000000
378;7.560000;0.000572;0.000000
379;7.580000;0.000572;0.000000
380;7.600000;0.000572;0.000000
381;7.620000;0.000572;0.000000
382;7.640000;0.000572;0.000000
383;7.660000;0.000572;0.000000
384;7.680000;0.000572;0.000000
385;7.700000;0.000572;0.000000
386;7.720000;0.000572;0.000000
387;7.740000;0.000572;0.000000
