0.749;5.23529;0.749;4.81724;0.749;0;0.749;0
0.755;5.23529;0.755;4.88247;0.755;0;0.755;0
0.762;5.23529;0.762;4.9559;0.762;0;0.762;0
0.768;5.23529;0.768;5.06337;0.768;0;0.768;0
0.775;5.23529;0.775;5.14409;0.775;0;0.775;0
0.781;5.23529;0.781;5.13735;0.781;0;0.781;0
0.79;5.23529;0.79;5.15222;0.79;0;0.79;0
0.796;5.23529;0.796;5.16709;0.796;0;0.796;0
0.803;5.23529;0.803;5.19875;0.803;0;0.803;0
0.809;5.23529;0.809;5.21931;0.809;0;0.809;0
0.817;5.23529;0.817;5.25604;0.817;0;0.817;0
0.823;5.23529;0.823;5.30962;0.823;0;0.823;0
0.83;5.23529;0.83;5.39388;0.83;0;0.83;0
0.836;5.23529;0.836;5.45723;0.836;0;0.836;0
0.843;5.23529;0.843;5.46334;0.843;0;0.843;0
0.85;5.23529;0.85;5.50936;0.85;0;0.85;0
0.856;5.23529;0.856;5.53409;0.856;0;0.856;0
0.862;5.23529;0.862;5.5833;0.862;0;0.862;0
0.869;5.23529;0.869;5.61645;0.869;0;0.869;0
0.875;5.23529;0.875;5.6508;0.875;0;0.875;0
0.883;5.23529;0.883;5.68802;0.883;0;0.883;0
0.889;5.23529;0.889;5.69632;0.889;0;0.889;0
0.897;5.23529;0.897;5.71781;0.897;0;0.897;0
0.903;5.23529;0.903;5.72114;0.903;0;0.903;0
0.911;5.23529;0.911;5.76167;0.911;0;0.911;0
0.917;5.23529;0.917;5.8388;0.917;0;0.917;0
0.924;5.23529;0.924;5.84222;0.924;0;0.924;0
0.93;5.23529;0.93;5.8546;0.93;0;0.93;0
0.937;5.23529;0.937;5.8911;0.937;0;0.937;0
0.943;5.23529;0.943;5.91075;0.943;0;0.943;0
0.95;5.23529;0.95;5.91428;0.95;0;0.95;0
0.956;5.23529;0.956;5.87173;0.956;0;0.956;0
0.963;5.23529;0.963;5.89485;0.963;0;0.963;0
0.969;5.23529;0.969;5.941;0.969;0;0.969;0
0.978;5.23529;0.978;5.90034;0.978;0;0.978;0
0.984;5.23529;0.984;5.89674;0.984;0;0.984;0
0.991;5.23529;0.991;5.93024;0.991;0;0.991;0
0.997;5.23529;0.997;5.94108;0.997;0;0.997;0
1.003;5.23529;1.003;5.93041;1.003;0;1.003;0
1.009;5.23529;1.009;5.87006;1.009;0;1.009;0
1.017;5.23529;1.017;5.84374;1.017;0;1.017;0
1.023;5.23529;1.023;5.82645;1.023;0;1.023;0
1.03;5.23529;1.03;5.74857;1.03;0;1.03;0
1.037;5.23529;1.037;5.70958;1.037;0;1.037;0
1.044;5.23529;1.044;5.70628;1.044;0;1.044;0
1.05;5.23529;1.05;5.71299;1.05;0;1.05;0
1.057;5.23529;1.057;5.6934;1.057;0;1.057;0
1.063;5.23529;1.063;5.60227;1.063;0;1.063;0
1.072;5.23529;1.072;5.55445;1.072;0;1.072;0
1.078;5.23529;1.078;5.53567;1.078;0;1.078;0
1.085;5.23529;1.085;5.4684;1.085;0;1.085;0
1.092;5.23529;1.092;5.41804;1.092;0;1.092;0
1.097;5.23529;1.097;5.39438;1.097;0;1.097;0
1.103;5.23529;1.103;5.36914;1.103;0;1.103;0
1.109;5.23529;1.109;5.29781;1.109;0;1.109;0
1.117;5.23529;1.117;5.18915;1.117;0;1.117;0
1.124;5.23529;1.124;5.15624;1.124;0;1.124;0
1.13;5.23529;1.13;5.14679;1.13;0;1.13;0
1.136;5.23529;1.136;5.12132;1.136;0;1.136;0
1.144;5.23529;1.144;5.02556;1.144;0;1.144;0
1.151;5.23529;1.151;4.95208;1.151;0;1.151;0
1.157;5.23529;1.157;4.93968;1.157;0;1.157;0
1.166;5.23529;1.166;4.92104;1.166;0;1.166;0
1.172;5.23529;1.172;4.91735;1.172;0;1.172;0
1.179;5.23529;1.179;4.85133;1.179;0;1.179;0
1.185;5.23529;1.185;4.72534;1.185;0;1.185;0
1.191;5.23529;1.191;4.63324;1.191;0;1.191;0
1.197;5.23529;1.197;4.60482;1.197;0;1.197;0
1.203;5.23529;1.203;4.5645;1.203;0;1.203;0
1.211;5.23529;1.211;4.44861;1.211;0;1.211;0
1.219;5.23529;1.219;4.37304;1.219;0;1.219;0
1.225;5.23529;1.225;4.37304;1.225;0;1.225;0
1.232;5.23529;1.232;4.36721;1.232;0;1.232;0
1.238;5.23529;1.238;4.35366;1.238;0;1.238;0
1.245;5.23529;1.245;4.25736;1.245;0;1.245;0
1.251;5.23529;1.251;4.16878;1.251;0;1.251;0
1.26;5.23529;1.26;4.1003;1.26;0;1.26;0
1.266;5.23529;1.266;3.99364;1.266;0;1.266;0
1.273;5.23529;1.273;3.95547;1.273;0;1.273;0
1.279;5.23529;1.279;3.92025;1.279;0;1.279;0
1.286;5.23529;1.286;3.8334;1.286;0;1.286;0
1.292;5.23529;1.292;3.78177;1.292;0;1.292;0
1.299;5.23529;1.299;3.77524;1.299;0;1.299;0
1.305;5.23529;1.305;3.76654;1.305;0;1.305;0
1.314;5.23529;1.314;3.76437;1.314;0;1.314;0
1.32;5.23529;1.32;3.76149;1.32;0;1.32;0
1.327;5.23529;1.327;3.7586;1.327;0;1.327;0
1.333;5.23529;1.333;3.69131;1.333;0;1.333;0
1.34;5.23529;1.34;3.57584;1.34;0;1.34;0
1.345;5.23529;1.345;3.52766;1.345;0;1.345;0
1.353;5.23529;1.353;3.52197;1.353;0;1.353;0
1.359;5.23529;1.359;3.51629;1.359;0;1.359;0
1.367;5.23529;1.367;3.51189;1.367;0;1.367;0
1.373;5.23529;1.373;3.46351;1.373;0;1.373;0
1.38;5.23529;1.38;3.41953;1.38;0;1.38;0
1.386;5.23529;1.386;3.43941;1.386;0;1.386;0
1.392;5.23529;1.392;3.45929;1.392;0;1.392;0
1.4;5.23529;1.4;3.45808;1.4;0;1.4;0
1.408;5.23529;1.408;3.46052;1.408;0;1.408;0
1.414;5.23529;1.414;3.46418;1.414;0;1.414;0
1.421;5.23529;1.421;3.43179;1.421;0;1.421;0
1.427;5.23529;1.427;3.3994;1.427;0;1.427;0
1.436;5.23529;1.436;3.36368;1.436;0;1.436;0
1.442;5.23529;1.442;3.33248;1.442;0;1.442;0
1.449;5.23529;1.449;3.33701;1.449;0;1.449;0
1.455;5.23529;1.455;3.35188;1.455;0;1.455;0
1.461;5.23529;1.461;3.36676;1.461;0;1.461;0
1.467;5.23529;1.467;3.34062;1.467;0;1.467;0
1.473;5.23529;1.473;3.31448;1.473;0;1.473;0
1.482;5.23529;1.482;3.32801;1.482;0;1.482;0
1.489;5.23529;1.489;3.34326;1.489;0;1.489;0
1.495;5.23529;1.495;3.34497;1.495;0;1.495;0
1.503;5.23529;1.503;3.38344;1.503;0;1.503;0
1.509;5.23529;1.509;3.42192;1.509;0;1.509;0
1.517;5.23529;1.517;3.40304;1.517;0;1.517;0
1.523;5.23529;1.523;3.38417;1.523;0;1.523;0
1.53;5.23529;1.53;3.3482;1.53;0;1.53;0
1.537;5.23529;1.537;3.31672;1.537;0;1.537;0
1.543;5.23529;1.543;3.3212;1.543;0;1.543;0
1.549;5.23529;1.549;3.32571;1.549;0;1.549;0
1.556;5.23529;1.556;3.33022;1.556;0;1.556;0
1.562;5.23529;1.562;3.30847;1.562;0;1.562;0
1.571;5.23529;1.571;3.28673;1.571;0;1.571;0
1.578;5.23529;1.578;3.31813;1.578;0;1.578;0
1.584;5.23529;1.584;3.36802;1.584;0;1.584;0
1.59;5.23529;1.59;3.3865;1.59;0;1.59;0
1.597;5.23529;1.597;3.4284;1.597;0;1.597;0
1.603;5.23529;1.603;3.4703;1.603;0;1.603;0
1.61;5.23529;1.61;3.42316;1.61;0;1.61;0
1.616;5.23529;1.616;3.33028;1.616;0;1.616;0
1.622;5.23529;1.622;3.28453;1.622;0;1.622;0
1.63;5.23529;1.63;3.29115;1.63;0;1.63;0
1.638;5.23529;1.638;3.29777;1.638;0;1.638;0
1.644;5.23529;1.644;3.3248;1.644;0;1.644;0
1.652;5.23529;1.652;3.35182;1.652;0;1.652;0
1.658;5.23529;1.658;3.34498;1.658;0;1.658;0
1.665;5.23529;1.665;3.36174;1.665;0;1.665;0
1.671;5.23529;1.671;3.38534;1.671;0;1.671;0
1.678;5.23529;1.678;3.37894;1.678;0;1.678;0
1.684;5.23529;1.684;3.37254;1.684;0;1.684;0
1.693;5.23529;1.693;3.39723;1.693;0;1.693;0
1.699;5.23529;1.699;3.42192;1.699;0;1.699;0
1.706;5.23529;1.706;3.37437;1.706;0;1.706;0
1.712;5.23529;1.712;3.3112;1.712;0;1.712;0
1.719;5.23529;1.719;3.29556;1.719;0;1.719;0
1.725;5.23529;1.725;3.30782;1.725;0;1.725;0
1.732;5.23529;1.732;3.32008;1.732;0;1.732;0
1.738;5.23529;1.738;3.37458;1.738;0;1.738;0
1.746;5.23529;1.746;3.41956;1.746;0;1.746;0
1.752;5.23529;1.752;3.41003;1.752;0;1.752;0
1.76;5.23529;1.76;3.4371;1.76;0;1.76;0
1.766;5.23529;1.766;3.46418;1.766;0;1.766;0
1.774;5.23529;1.774;3.47897;1.774;0;1.774;0
1.779;5.23529;1.779;3.49314;1.779;0;1.779;0
1.786;5.23529;1.786;3.49252;1.786;0;1.786;0
1.792;5.23529;1.792;3.4626;1.792;0;1.792;0
1.801;5.23529;1.801;3.43268;1.801;0;1.801;0
1.807;5.23529;1.807;3.41428;1.807;0;1.807;0
1.814;5.23529;1.814;3.39588;1.814;0;1.814;0
1.82;5.23529;1.82;3.42272;1.82;0;1.82;0
1.827;5.23529;1.827;3.49817;1.827;0;1.827;0
1.833;5.23529;1.833;3.54678;1.833;0;1.833;0
1.84;5.23529;1.84;3.56163;1.84;0;1.84;0
1.845;5.23529;1.845;3.60697;1.845;0;1.845;0
1.854;5.23529;1.854;3.63745;1.854;0;1.854;0
1.861;5.23529;1.861;3.65927;1.861;0;1.861;0
1.868;5.23529;1.868;3.73581;1.868;0;1.868;0
1.874;5.23529;1.874;3.79053;1.874;0;1.874;0
1.882;5.23529;1.882;3.79273;1.882;0;1.882;0
1.888;5.23529;1.888;3.79493;1.888;0;1.888;0
1.896;5.23529;1.896;3.79639;1.896;0;1.896;0
1.902;5.23529;1.902;3.79566;1.902;0;1.902;0
1.909;5.23529;1.909;3.79346;1.909;0;1.909;0
1.914;5.23529;1.914;3.79566;1.914;0;1.914;0
1.921;5.23529;1.921;3.78184;1.921;0;1.921;0
1.927;5.23529;1.927;3.76581;1.927;0;1.927;0
1.933;5.23529;1.933;3.79739;1.933;0;1.933;0
1.941;5.23529;1.941;3.84326;1.941;0;1.941;0
1.947;5.23529;1.947;3.85755;1.947;0;1.947;0
1.954;5.23529;1.954;3.90572;1.954;0;1.954;0
1.96;5.23529;1.96;3.92331;1.96;0;1.96;0
1.968;5.23529;1.968;3.89273;1.968;0;1.968;0
1.976;5.23529;1.976;3.86985;1.976;0;1.976;0
1.981;5.23529;1.981;3.85075;1.981;0;1.981;0
1.987;5.23529;1.987;3.85452;1.987;0;1.987;0
1.995;5.23529;1.995;3.8744;1.995;0;1.995;0
2.003;5.23529;2.003;3.88735;2.003;0;2.003;0
2.009;5.23529;2.009;3.88042;2.009;0;2.009;0
2.016;5.23529;2.016;3.89045;2.016;0;2.016;0
2.022;5.23529;2.022;3.91138;2.022;0;2.022;0
2.03;5.23529;2.03;3.92228;2.03;0;2.03;0
2.036;5.23529;2.036;3.96307;2.036;0;2.036;0
2.043;5.23529;2.043;3.99735;2.043;0;2.043;0
2.049;5.23529;2.049;3.99491;2.049;0;2.049;0
2.056;5.23529;2.056;3.99897;2.056;0;2.056;0
2.062;5.23529;2.062;4.03041;2.062;0;2.062;0
2.068;5.23529;2.068;4.09602;2.068;0;2.068;0
2.076;5.23529;2.076;4.1302;2.076;0;2.076;0
2.084;5.23529;2.084;4.13368;2.084;0;2.084;0
